country,source,target,weight
Bangladesh,mean_wbgt,renewable_energy_pct,-0.0005009003630182744
Bangladesh,fossil_fuel_pct,renewable_energy_pct,-1.3522643115386433e-06
Bangladesh,electricity_per_capita,renewable_energy_pct,0.07871300109932027
Bangladesh,co2_per_capita,renewable_energy_pct,-0.36421719645456074
Bangladesh,renewable_energy_pct,fossil_fuel_pct,-1.6790696819678035
Bangladesh,mean_wbgt,electricity_per_capita,7.325747766206457e-05
Bangladesh,fossil_fuel_pct,electricity_per_capita,2.837950835614538e-05
Bangladesh,fossil_fuel_pct,co2_per_capita,1.0853751731648685e-05
Bangladesh,electricity_per_capita,co2_per_capita,0.8851775212552784
Bangladesh,renewable_energy_pct,gdp_per_capita,-7.107669498823505e-06
Bangladesh,fossil_fuel_pct,gdp_per_capita,8.722527172958757e-05
Bangladesh,unemployment_rate,gdp_per_capita,0.0020842554252424724
Bangladesh,health_expenditure_pct,gdp_per_capita,1.1055951296017324e-05
Bangladesh,agri_valueadded_pct,gdp_per_capita,-1.6457773803431198e-06
Bangladesh,urbanization_pct,gdp_per_capita,2.4906563137047394e-06
Bangladesh,fossil_fuel_pct,unemployment_rate,2.3064233062793248e-05
Bangladesh,co2_per_capita,unemployment_rate,-1.1739674141668747e-05
Bangladesh,health_expenditure_pct,unemployment_rate,6.215199707669801e-06
Bangladesh,urbanization_pct,unemployment_rate,3.21384878785163e-06
Bangladesh,renewable_energy_pct,health_expenditure_pct,-0.04453555820987278
Bangladesh,fossil_fuel_pct,health_expenditure_pct,1.4736271786667154
Bangladesh,electricity_per_capita,health_expenditure_pct,-0.617409837715603
Bangladesh,co2_per_capita,health_expenditure_pct,-0.1900841966506105
Bangladesh,gdp_per_capita,health_expenditure_pct,-0.6055647139642264
Bangladesh,unemployment_rate,health_expenditure_pct,-0.3207897382652306
Bangladesh,agri_valueadded_pct,health_expenditure_pct,-0.04353334913273567
Bangladesh,urbanization_pct,health_expenditure_pct,-0.18163048168395926
Bangladesh,mean_wbgt,agri_valueadded_pct,-0.07570656551396106
Bangladesh,fossil_fuel_pct,agri_valueadded_pct,-1.7304125944360906e-05
Bangladesh,electricity_per_capita,agri_valueadded_pct,-0.35264875829692427
Bangladesh,gdp_per_capita,agri_valueadded_pct,0.00379797277245613
Bangladesh,unemployment_rate,agri_valueadded_pct,-0.5622427644145754
Bangladesh,health_expenditure_pct,agri_valueadded_pct,-5.5827392616886674e-05
Bangladesh,fossil_fuel_pct,urbanization_pct,3.5629686718435635e-06
Bangladesh,electricity_per_capita,urbanization_pct,0.5143581034946468
Bangladesh,co2_per_capita,urbanization_pct,0.2729790368095471
Bangladesh,gdp_per_capita,urbanization_pct,-0.0001018337545437588
Bangladesh,unemployment_rate,urbanization_pct,0.06522780252805017
Bangladesh,health_expenditure_pct,urbanization_pct,8.446395489693884e-06
Bangladesh,agri_valueadded_pct,urbanization_pct,-0.5235309891935236
India,fossil_fuel_pct,renewable_energy_pct,-4.454118938684455e-06
India,electricity_per_capita,renewable_energy_pct,0.13116929497432064
India,co2_per_capita,renewable_energy_pct,-2.6615508638280283
India,renewable_energy_pct,fossil_fuel_pct,-1.864051620068499
India,electricity_per_capita,fossil_fuel_pct,-0.7624294262534526
India,mean_wbgt,electricity_per_capita,0.05333028927405416
India,renewable_energy_pct,electricity_per_capita,-1.632018253796477e-06
India,fossil_fuel_pct,electricity_per_capita,9.059418086043424e-06
India,co2_per_capita,electricity_per_capita,1.4029280235763915e-05
India,mean_wbgt,co2_per_capita,-0.0076937260618290745
India,fossil_fuel_pct,co2_per_capita,3.184341573704038e-06
India,electricity_per_capita,co2_per_capita,0.9854853542809875
India,mean_wbgt,gdp_per_capita,0.0016232797712089084
India,renewable_energy_pct,gdp_per_capita,-1.050534915625565e-05
India,fossil_fuel_pct,gdp_per_capita,7.220895513593456e-05
India,electricity_per_capita,gdp_per_capita,1.1590086638458727e-05
India,co2_per_capita,gdp_per_capita,6.038055412439389e-05
India,unemployment_rate,gdp_per_capita,-6.138470387639893e-05
India,health_expenditure_pct,gdp_per_capita,-1.7580083708955274
India,agri_valueadded_pct,gdp_per_capita,0.00027526145247024254
India,urbanization_pct,gdp_per_capita,1.8091233955294367e-06
India,renewable_energy_pct,unemployment_rate,1.3024550627636663e-05
India,fossil_fuel_pct,unemployment_rate,-7.29527359432043e-05
India,electricity_per_capita,unemployment_rate,-0.003491275106293925
India,co2_per_capita,unemployment_rate,-0.8272657498675263
India,gdp_per_capita,unemployment_rate,-0.21399464739971727
